imdb_id,inf_dist_summary
tt0181627,1.0
tt1924435,1.0
tt0095765,1.0
tt3107924,1.0
tt1935897,1.0
tt4948040,1.0
tt0088128,1.0
tt0091867,1.0
tt4063178,1.0
tt2261287,1.0
tt6314842,1.0
tt0171363,1.0
tt0080678,1.0
tt7948540,1.0
tt0371746,1.0
tt0462346,1.0
tt0195994,1.0
tt2917388,1.0
tt2948356,1.0
tt0468569,1.0
tt1220888,1.0
tt0189998,1.0
tt0098627,1.0
tt0094898,1.0
tt0457433,1.0
tt0190332,1.0
tt0384504,1.0
tt6189022,1.0
tt0081573,1.0
tt1489889,1.0
tt1540128,1.0
tt6347150,1.0
tt0785006,1.0
tt3789946,1.0
tt2314824,1.0
tt1758810,1.0
tt1285016,1.0
tt0482527,1.0
tt3219604,1.0
tt2935476,1.0
tt2421416,1.0
tt2235108,1.0
tt3396114,1.0
tt0085859,1.0
tt0471990,1.0
tt4137924,1.0
tt0800325,1.0
tt0478134,1.0
tt0287978,1.0
tt1132449,1.0
tt0865907,1.0
tt0379865,1.0
tt0023027,1.0
tt0765443,1.0
tt0110057,1.0
tt7252000,1.0
tt0390521,1.0
tt0974662,1.0
tt0458339,1.0
tt4687108,1.0
tt1355631,1.0
tt0493949,1.0
tt5691084,1.0
tt0146316,1.0
tt7948406,1.0
tt5841344,1.0
tt0126029,1.0
tt2043933,1.0
tt3829920,1.0
tt5195412,1.0
tt3111728,1.0
tt1663143,1.0
tt1229822,1.0
tt5843850,1.0
tt2334871,1.0
tt4633690,1.0
tt2319580,1.0
tt2094052,1.0
tt2184233,1.0
tt0280030,1.0
tt2369205,1.0
tt0800308,1.0
tt5247022,1.0
tt0369441,1.0
tt4537720,1.0
tt0138524,1.0
tt3604950,1.0
tt0393597,1.0
tt2397535,1.0
tt2398241,1.0
tt1093824,1.0
tt1046173,1.0
tt0089370,1.0
tt0464196,1.0
tt0439876,1.0
tt0042609,1.0
tt1754455,1.0
tt0078924,1.0
tt1600195,1.0
tt1092633,1.0
tt1398426,1.0
tt2296777,1.0
tt4923846,1.0
tt0264150,1.0
tt0046250,1.0
tt1019437,1.0
tt3094236,1.0
tt0110367,1.0
tt0851430,1.0
tt5371090,1.0
tt0099329,1.0
tt1054487,1.0
tt0460793,1.0
tt0284334,1.0
tt0087995,1.0
tt3072482,1.0
tt0815236,1.0
tt0485947,1.0
tt0430779,1.0
tt0981042,1.0
tt6314166,1.0
tt4180560,1.0
tt0892318,1.0
tt0432402,1.0
tt0120738,1.0
tt0425413,1.0
tt0871016,1.0
tt1814836,1.0
tt0120855,1.0
tt1047540,1.0
tt1869347,1.0
tt0942385,1.0
tt0433422,1.0
tt1780762,1.0
tt1320244,1.0
tt0128648,1.0
tt0951333,1.0
tt1407084,1.0
tt2339741,1.0
tt3020226,1.0
tt0810819,1.0
tt1821658,1.0
tt7104578,1.0
tt3224458,1.0
tt2278871,1.0
tt2197823,1.0
tt1605782,1.0
tt1302006,1.0
tt9260980,1.0
tt0084434,1.0
tt0122151,1.0
tt0284431,1.0
tt0061418,1.0
tt0477051,1.0
tt2557276,1.0
tt0365737,1.0
tt4975722,1.0
tt1365050,1.0
tt5664684,1.0
tt1720182,1.0
tt7167602,1.0
tt0249677,1.0
tt0431021,1.0
tt4573516,1.0
tt0800240,1.0
tt1855134,1.0
tt2543508,1.0
tt0099073,1.0
tt0132477,1.0
tt2784678,1.0
tt5757874,1.0
tt0086251,1.0
tt0436613,1.0
tt1800302,1.0
tt2300975,1.0
tt2404299,1.0
tt1046947,1.0
tt5265898,1.0
tt5390504,1.0
tt0317219,1.0
tt0110527,1.0
tt0083951,1.0
tt8019694,1.0
tt0386032,1.0
tt0104522,1.0
tt0479884,1.0
tt5437928,1.0
tt3505298,1.0
tt3829266,1.0
tt0373908,1.0
tt0327162,1.0
tt3691740,1.0
tt0243585,1.0
tt0333780,1.0
tt0938283,1.0
tt1077368,1.0
tt0268978,1.0
tt7137380,1.0
tt0075988,1.0
tt0349205,1.0
tt8167872,1.0
tt0120783,1.0
tt1591095,1.0
tt5607096,1.0
tt10510166,1.0
tt0125454,1.0
tt0116442,1.0
tt0060522,1.0
tt0388500,1.0
tt1222698,1.0
tt0084237,1.0
tt2027140,1.0
tt0064116,1.0
tt0963194,1.0
tt1014775,1.0
tt3829170,1.0
tt0994917,1.0
tt4767274,1.0
tt1727491,1.0
tt1935859,1.0
tt7159616,1.0
tt1067583,1.0
tt1403862,1.0
tt7365604,1.0
tt3750872,1.0
tt0787523,1.0
tt1182350,1.0
tt0112471,1.0
tt1041829,1.0
tt2355495,1.0
tt6379644,1.0
tt0488535,1.0
tt2630526,1.0
tt0120611,1.0
tt0266915,1.0
tt0053946,1.0
tt1636826,1.0
tt3283556,1.0
tt0298359,1.0
tt1464174,1.0
tt0356150,1.0
tt0433035,1.0
tt1640711,1.0
tt2639336,1.0
tt0215750,1.0
tt5431890,1.0
tt1068997,1.0
tt0816545,1.0
tt0119177,1.0
tt6663582,1.0
tt2423422,1.0
tt3793376,1.0
tt1077258,1.0
tt6914542,1.0
tt1798243,1.0
tt0887912,1.0
tt1441952,1.0
tt0117333,1.0
tt0252444,1.0
tt2312862,1.0
tt0824747,1.0
tt0024914,1.0
tt0112572,1.0
tt2249081,1.0
tt8155288,1.0
tt6046314,1.0
tt0351283,1.0
tt3628584,1.0
tt1742683,1.0
tt1710394,1.0
tt0320691,1.0
tt0300471,1.0
tt7329656,1.0
tt0280491,1.0
tt0063518,1.0
tt0120094,1.0
tt0282521,1.0
tt4943322,1.0
tt0259711,1.0
tt0220099,1.0
tt0219653,1.0
tt0107798,1.0
tt3499096,1.0
tt0237534,1.0
tt0368711,1.0
tt7188058,1.0
tt1821701,1.0
tt3832914,1.0
tt1867080,1.0
tt0120202,1.0
tt0324742,1.0
tt4870838,1.0
tt1023111,1.0
tt0271219,1.0
tt7308086,1.0
tt0096256,1.0
tt2713180,1.0
tt0109686,1.0
tt2554274,1.0
tt4565520,1.0
tt3097084,1.0
tt0104291,1.0
tt0407121,1.0
tt0246989,1.0
tt1389137,1.0
tt2091240,1.0
tt2034031,1.0
tt1555159,1.0
tt1007028,1.0
tt0050105,1.0
tt0078872,1.0
tt0175159,1.0
tt3735398,1.0
tt8436026,1.0
tt0094332,1.0
tt2473682,1.0
tt5178264,1.0
tt0775440,1.0
tt6398184,1.0
tt1295071,1.0
tt2247476,1.0
tt1016016,1.0
tt0116922,1.0
tt0097123,1.0
tt1131728,1.0
tt7545524,1.0
tt3468298,1.0
tt0329485,1.0
tt1006904,1.0
tt0090685,1.0
tt4335520,1.0
tt0141926,1.0
tt4703182,1.0
tt0316654,1.0
tt1855199,1.0
tt1687247,1.0
tt3378384,1.0
tt0475290,1.0
tt0891527,1.0
tt0496806,1.0
tt4951982,1.0
tt1020072,1.0
tt0484562,1.0
tt0951216,1.0
tt1311067,1.0
tt6251390,1.0
tt4075688,1.0
tt3967826,1.0
tt0107290,1.0
tt1111948,1.0
tt0964586,1.0
tt0164334,1.0
tt7153766,1.0
tt0082288,1.0
tt5494396,1.0
tt0150662,1.0
tt3833520,1.0
tt5151716,1.0
tt5932728,1.0
tt0108174,1.0
tt5469480,1.0
tt0211320,1.0
tt1139797,1.0
tt4382330,1.0
tt0099422,1.0
tt0365907,1.0
tt0308508,1.0
tt0070379,1.0
tt1135500,1.0
tt3716530,1.0
tt2140037,1.0
tt1924429,1.0
tt3807402,1.0
tt0117731,1.0
tt1935089,1.0
tt0105488,1.0
tt0808399,1.0
tt1620680,1.0
tt1430607,1.0
tt0101889,1.0
tt1638355,1.0
tt4209788,1.0
tt3553378,1.0
tt5259966,1.0
tt2165933,1.0
tt5478478,1.0
tt2347569,1.0
tt2387499,1.0
tt1376213,1.0
tt0088000,1.0
tt0303151,1.0
tt0337917,1.0
tt0279493,1.0
tt8092888,1.0
tt0119190,1.0
tt4820278,1.0
tt7913394,1.0
tt0064418,1.0
tt5750534,1.0
tt0053198,1.0
tt3473654,1.0
tt0257360,1.0
tt0076004,1.0
tt0090264,1.0
tt0118111,1.0
tt0120188,1.0
tt6900448,1.0
tt1103275,1.0
tt1605798,1.0
tt0988849,1.0
tt3553414,1.0
tt1222817,1.0
tt0054354,1.0
tt1748179,1.0
tt2671706,1.0
tt6333064,1.0
tt2752772,1.0
tt4572820,1.0
tt0067219,1.0
tt8041276,1.0
tt4648786,1.0
tt1682886,1.0
tt0266543,1.0
tt0101455,1.0
tt1650453,1.0
tt3864056,1.0
tt7653254,1.0
tt3107872,1.0
tt1189073,1.0
tt0108052,1.0
tt0377062,1.0
tt0099810,1.0
tt1640145,1.0
tt0168473,1.0
tt1800302,1.0
tt3774114,1.0
tt2330546,1.0
tt1924394,1.0
tt1874633,1.0
tt0298388,1.0
tt10060094,1.0
tt0107818,1.0
tt1312972,1.0
tt6823368,1.0
tt9817300,1.0
tt2510028,1.0
tt0114745,1.0
tt0416236,1.0
tt0478311,1.0
tt0268695,1.0
tt3816346,1.0
tt0117603,1.0
tt0455782,1.0
tt1359551,1.0
tt1045658,1.0
tt1725986,1.0
tt0387301,1.0
tt0437857,1.0
tt6133130,1.0
tt7497366,1.0
tt5894410,1.0
tt0091167,1.0
tt1602613,1.0
tt0110632,1.0
tt0487907,1.0
tt5851786,1.0
tt1314228,1.0
tt2816800,1.0
tt5475022,1.0
tt0475937,1.0
tt6306064,1.0
tt1373149,1.0
tt0494716,1.0
tt0458364,1.0
tt6896078,1.0
tt0093565,1.0
tt3850590,1.0
tt1178665,1.0
tt0097441,1.0
tt0161083,1.0
tt0443489,1.0
tt0458413,1.0
tt0377109,1.0
tt0091149,1.0
tt9315436,1.0
tt8366502,1.0
tt7302054,1.0
tt0118655,1.0
tt0134847,1.0
tt0425123,1.0
tt0063811,1.0
tt0054853,1.0
tt0289043,1.0
tt1237838,1.0
tt6644200,1.0
tt0878804,1.0
tt2562232,1.0
tt0249516,1.0
tt2724064,1.0
tt5848272,1.0
tt4144332,1.0
tt10857582,1.0
tt0109361,1.0
tt1708534,1.0
tt0205873,1.0
tt2226597,1.0
tt4178092,1.0
tt3948500,1.0
tt3125324,1.0
tt6333090,1.0
tt7374948,1.0
tt3884528,1.0
tt0430105,1.0
tt2109248,1.0
tt7321274,1.0
tt0310281,1.0
tt1320253,1.0
tt0047396,1.0
tt0042332,1.0
tt0359013,1.0
tt0053604,1.0
tt3280262,1.0
tt1260502,1.0
tt2048854,1.0
tt0120791,1.0
tt1718903,1.0
tt1307897,1.0
tt0449467,1.0
tt4500922,1.0
tt0119822,1.0
tt3297330,1.0
tt5628302,1.0
tt3553976,1.0
tt0056193,1.0
tt0099371,1.0
tt0044517,1.0
tt2402157,1.0
tt0386117,1.0
tt0071562,1.0
tt1634122,1.0
tt0036613,1.0
tt5591822,1.0
tt3454574,1.0
tt11163028,1.0
tt7853242,1.0
tt1374989,1.0
tt0142342,1.0
tt0985694,1.0
tt5027774,1.0
tt0381681,1.0
tt1583772,1.0
tt1853614,1.0
tt0089208,1.0
tt0158622,1.0
tt0780595,1.0
tt0094921,1.0
tt0257076,1.0
tt7282468,1.0
tt1639084,1.0
tt0097778,1.0
tt1828976,1.0
tt0408306,1.0
tt1679235,1.0
tt0243862,1.0
tt0380623,1.0
tt1037011,1.0
tt0870111,1.0
tt1131734,1.0
tt0426581,1.0
tt0265298,1.0
tt1213663,1.0
tt3108864,1.0
tt8890582,1.0
tt2133333,1.0
tt0137799,1.0
tt0074599,1.0
tt0356618,1.0
tt7690670,1.0
tt6146590,1.0
tt3122416,1.0
tt0420332,1.0
tt0119229,1.0
tt0083131,1.0
tt0350028,1.0
tt0122494,1.0
tt4296800,1.0
tt3292080,1.0
tt6890582,1.0
tt0443465,1.0
tt2515030,1.0
tt2372251,1.0
tt0096283,1.0
tt7315484,1.0
tt8852536,1.0
tt6333052,1.0
tt2788526,1.0
tt7407496,1.0
tt1135084,1.0
tt0309593,1.0
tt1206541,1.0
tt0209958,1.0
tt0111280,1.0
tt4687392,1.0
tt3920060,1.0
tt4244998,1.0
tt0120601,1.0
tt1104733,1.0
tt2567000,1.0
tt0462338,1.0
tt0101410,1.0
tt4052882,1.0
tt0421715,1.0
tt0462229,1.0
tt1763303,1.0
tt3400214,1.0
tt0151738,1.0
tt1019454,1.0
tt7772580,1.0
tt6728096,1.0
tt2883580,1.0
tt0464049,1.0
tt1284575,1.0
tt0974015,1.0
tt0875034,1.0
tt0214382,1.0
tt3791266,1.0
tt0389557,1.0
tt0300556,1.0
tt0107822,1.0
tt0120053,1.0
tt0181875,1.0
tt0449018,1.0
tt0113117,1.0
tt0086465,1.0
tt6183104,1.0
tt2415458,1.0
tt0092752,1.0
tt2193215,1.0
tt2204080,1.0
tt0480008,1.0
tt0972785,1.0
tt0820142,1.0
tt0042192,1.0
tt4938602,1.0
tt5541002,1.0
tt2408288,1.0
tt5254868,1.0
tt2321405,1.0
tt2475846,1.0
tt1933836,1.0
tt3890160,1.0
tt1599348,1.0
tt0120082,1.0
tt0244244,1.0
tt2395219,1.0
tt0092493,1.0
tt0257778,1.0
tt0210567,1.0
tt0060665,1.0
tt0338459,1.0
tt5648036,1.0
tt7634968,1.0
tt0790627,1.0
tt0464154,1.0
tt0095082,1.0
tt3874544,1.0
tt6169694,1.0
tt7153434,1.0
tt1119646,1.0
tt0079639,1.0
tt3268458,1.0
tt5498056,1.0
tt0329737,1.0
tt3215826,1.0
tt4853154,1.0
tt6097886,1.0
tt4835940,1.0
tt2205697,1.0
tt1859650,1.0
tt1447793,1.0
tt1828229,1.0
tt0421073,1.0
tt0425061,1.0
tt0105598,1.0
tt0089643,1.0
tt0101343,1.0
tt0102316,1.0
tt0472033,1.0
tt0120102,1.0
tt1821680,1.0
tt6857112,1.0
tt0490822,1.0
tt0096928,1.0
tt1340138,1.0
tt2515086,1.0
tt0266697,1.0
tt0117951,1.0
tt0418763,1.0
tt2119532,1.0
tt0082509,1.0
